"Name","CommandType","Source"
"Get-PcsvDeviceLog","Function","PcsvDevice"
"Get-PhysicalDisk","Function","Storage"
"Get-PhysicalDiskStorageNodeView","Function","Storage"
"Get-PhysicalExtent","Function","Storage"
"Get-PhysicalExtentAssociation","Function","Storage"
"Get-PnpDevice","Function","PnpDevice"
"Get-PnpDeviceProperty","Function","PnpDevice"
"Get-PrintConfiguration","Function","PrintManagement"
"Get-Printer","Function","PrintManagement"
"Get-PrinterDriver","Function","PrintManagement"
"Get-PrinterPort","Function","PrintManagement"
"Get-PrinterProperty","Function","PrintManagement"
"Get-PrintJob","Function","PrintManagement"
"Get-PSRepository","Function","PowerShellGet"
"Get-PSRepository","Function","PowerShellGet"
"Get-ResiliencySetting","Function","Storage"
"Get-ScheduledTask","Function","ScheduledTasks"
"Get-ScheduledTaskInfo","Function","ScheduledTasks"
"Get-SmbBandWidthLimit","Function","SmbShare"
"Get-SmbClientAccessToServer","Function","SmbShare"
"Get-SmbClientCertificateMapping","Function","SmbShare"
"Get-SmbClientConfiguration","Function","SmbShare"
"Get-SmbClientNetworkInterface","Function","SmbShare"
"Get-SmbConnection","Function","SmbShare"
"Get-SmbDelegation","Function","SmbShare"
"Get-SmbGlobalMapping","Function","SmbShare"
"Get-SmbMapping","Function","SmbShare"
"Get-SmbMultichannelConnection","Function","SmbShare"
"Get-SmbMultichannelConstraint","Function","SmbShare"
"Get-SmbOpenFile","Function","SmbShare"
"Get-SmbServerAlternativePort","Function","SmbShare"
"Get-SmbServerCertificateMapping","Function","SmbShare"
"Get-SmbServerCertProps","Function","SmbShare"
"Get-SmbServerConfiguration","Function","SmbShare"
"Get-SmbServerNetworkInterface","Function","SmbShare"
"Get-SmbSession","Function","SmbShare"
"Get-SmbShare","Function","SmbShare"
"Get-SmbShareAccess","Function","SmbShare"
"Get-SmbWitnessClient","Function","SmbWitness"
"Get-StartApps","Function","StartLayout"
"Get-StorageAdvancedProperty","Function","Storage"
"Get-StorageBusBinding","Function","StorageBusCache"
"Get-StorageBusCache","Function","StorageBusCache"
"Get-StorageBusClientDevice","Function","StorageBusCache"
"Get-StorageBusDisk","Function","StorageBusCache"
"Get-StorageBusTargetCacheStore","Function","StorageBusCache"
"Get-StorageBusTargetCacheStoresInstance","Function","StorageBusCache"
"Get-StorageBusTargetDevice","Function","StorageBusCache"
"Get-StorageBusTargetDeviceInstance","Function","StorageBusCache"
"Get-StorageChassis","Function","Storage"
"Get-StorageDataCollection","Function","Storage"
"Get-StorageDiagnosticInfo","Function","Storage"
"Get-StorageEnclosure","Function","Storage"
"Get-StorageEnclosureStorageNodeView","Function","Storage"
"Get-StorageEnclosureVendorData","Function","Storage"
"Get-StorageExtendedStatus","Function","Storage"
"Get-StorageFaultDomain","Function","Storage"
"Get-StorageFileServer","Function","Storage"
"Get-StorageFirmwareInformation","Function","Storage"
"Get-StorageHealthAction","Function","Storage"
"Get-StorageHealthReport","Function","Storage"
"Get-StorageHealthSetting","Function","Storage"
"Get-StorageHistory","Function","Storage"
"Get-StorageJob","Function","Storage"
"Get-StorageNode","Function","Storage"
"Get-StoragePool","Function","Storage"
"Get-StorageProvider","Function","Storage"
"Get-StorageRack","Function","Storage"
"Get-StorageReliabilityCounter","Function","Storage"
"Get-StorageScaleUnit","Function","Storage"
"Get-StorageSetting","Function","Storage"
"Get-StorageSite","Function","Storage"
"Get-StorageSubSystem","Function","Storage"
"Get-StorageTier","Function","Storage"
"Get-StorageTierSupportedSize","Function","Storage"
"Get-SupportedClusterSizes","Function","Storage"
"Get-SupportedFileSystems","Function","Storage"
"Get-TargetPort","Function","Storage"
"Get-TargetPortal","Function","Storage"
"Get-TestDriveItem","Function","Pester"
"Get-VirtualDisk","Function","Storage"
"Get-VirtualDiskSupportedSize","Function","Storage"
"Get-VMDirectVirtualDisk","Function","VMDirectStorage"
"Get-Volume","Function","Storage"
"Get-VolumeCorruptionCount","Function","Storage"
"Get-VolumeScrubPolicy","Function","Storage"
"Get-VpnConnection","Function","VpnClient"
"Get-VpnConnectionTrigger","Function","VpnClient"
"Get-WdacBidTrace","Function","Wdac"
"Get-WindowsUpdateLog","Function","WindowsUpdate"
"Get-WinhttpProxy","Function","WinHttpProxy"
"Grant-FileShareAccess","Function","Storage"
"Grant-HgsKeyProtectorAccess","Function","HgsClient"
"Grant-SmbClientAccessToServer","Function","SmbShare"
"Grant-SmbShareAccess","Function","SmbShare"
"gs:","Function","GoogleCloud"
"gs:","Function","GoogleCloudBeta"
"H:","Function",""
"help","Function",""
"Hide-VirtualDisk","Function","Storage"
"I:","Function",""
"Import-BCCachePackage","Function","BranchCache"
"Import-BCSecretKey","Function","BranchCache"
"Import-HgsGuardian","Function","HgsClient"
"Import-IseSnippet","Function","ISE"
"Import-PSGetRepository","Function","Microsoft.PowerShell.PSResourceGet"
"Import-WinhttpProxy","Function","WinHttpProxy"
"In","Function","Pester"
"Initialize-Disk","Function","Storage"
"InModuleScope","Function","Pester"
"Install-Dtc","Function","MsDtc"
"Install-Module","Function","PowerShellGet"
"Install-Module","Function","PowerShellGet"
"Install-Script","Function","PowerShellGet"
"Install-Script","Function","PowerShellGet"
"Invoke-AsWorkflow","Function","PSWorkflowUtility"
"Invoke-HnsRequest","Function","HostNetworkingService"
"Invoke-Mock","Function","Pester"
"Invoke-OperationValidation","Function","Microsoft.PowerShell.Operation.Validation"
"Invoke-Pester","Function","Pester"
"It","Function","Pester"
"J:","Function",""
"K:","Function",""
"L:","Function",""
"Lock-BitLocker","Function","BitLocker"
"M:","Function",""
"mkdir","Function",""
"Mock","Function","Pester"
"Mount-DiskImage","Function","Storage"
"Move-SmbWitnessClient","Function","SmbWitness"
"N:","Function",""
"New-AutologgerConfig","Function","EventTracingManagement"
"New-DAEntryPointTableItem","Function","DirectAccessClientComponents"
"New-DscChecksum","Function","PSDesiredStateConfiguration"
"New-EapConfiguration","Function","VpnClient"
"New-EtwTraceSession","Function","EventTracingManagement"
"New-FileShare","Function","Storage"
"New-Fixture","Function","Pester"
"New-HgsGuardian","Function","HgsClient"
"New-HgsKeyProtector","Function","HgsClient"
"New-IscsiTargetPortal","Function","iSCSI"
"New-IseSnippet","Function","ISE"
"New-MaskingSet","Function","Storage"
"New-MpPerformanceRecording","Function","ConfigDefenderPerformance"
"New-MpPerformanceRecording","Function","DefenderPerformance"
"New-NetAdapterAdvancedProperty","Function","NetAdapter"
"New-NetEventSession","Function","NetEventPacketCapture"
"New-NetFirewallDynamicKeywordAddress","Function","NetSecurity"
"New-NetFirewallHyperVProfile","Function","NetSecurity"
"New-NetFirewallHyperVRule","Function","NetSecurity"
"New-NetFirewallHyperVVMSetting","Function","NetSecurity"
"New-NetFirewallRule","Function","NetSecurity"
"New-NetIPAddress","Function","NetTCPIP"
"New-NetIPHttpsConfiguration","Function","NetworkTransition"
"New-NetIPsecDospSetting","Function","NetSecurity"
"New-NetIPsecMainModeCryptoSet","Function","NetSecurity"
"New-NetIPsecMainModeRule","Function","NetSecurity"
"New-NetIPsecPhase1AuthSet","Function","NetSecurity"
"New-NetIPsecPhase2AuthSet","Function","NetSecurity"
"New-NetIPsecQuickModeCryptoSet","Function","NetSecurity"
"New-NetIPsecRule","Function","NetSecurity"
"New-NetLbfoTeam","Function","NetLbfo"
"New-NetNat","Function","NetNat"
"New-NetNatTransitionConfiguration","Function","NetworkTransition"
"New-NetNeighbor","Function","NetTCPIP"
"New-NetQosPolicy","Function","NetQos"
"New-NetRoute","Function","NetTCPIP"
"New-NetSwitchTeam","Function","NetSwitchTeam"
"New-NetTransportFilter","Function","NetTCPIP"
"New-NetworkSwitchVlan","Function","NetworkSwitchManager"
"New-Partition","Function","Storage"
"New-PesterOption","Function","Pester"
"New-PSWorkflowSession","Function","PSWorkflow"
"New-ScheduledTask","Function","ScheduledTasks"
"New-ScheduledTaskAction","Function","ScheduledTasks"
"New-ScheduledTaskPrincipal","Function","ScheduledTasks"
"New-ScheduledTaskSettingsSet","Function","ScheduledTasks"
"New-ScheduledTaskTrigger","Function","ScheduledTasks"
"New-ScriptFileInfo","Function","PowerShellGet"
"New-ScriptFileInfo","Function","PowerShellGet"
"New-SmbClientCertificateMapping","Function","SmbShare"
"New-SmbGlobalMapping","Function","SmbShare"
"New-SmbMapping","Function","SmbShare"
"New-SmbMultichannelConstraint","Function","SmbShare"
"New-SmbServerAlternativePort","Function","SmbShare"
"New-SmbServerCertificateMapping","Function","SmbShare"
"New-SmbShare","Function","SmbShare"
"New-StorageBusBinding","Function","StorageBusCache"
"New-StorageBusCacheStore","Function","StorageBusCache"
"New-StorageFileServer","Function","Storage"
"New-StoragePool","Function","Storage"
"New-StorageSubsystemVirtualDisk","Function","Storage"
"New-StorageTier","Function","Storage"
"New-VirtualDisk","Function","Storage"
"New-VirtualDiskClone","Function","Storage"
"New-VirtualDiskSnapshot","Function","Storage"
"New-Volume","Function","Storage"
"New-VpnServerAddress","Function","VpnClient"
"O:","Function",""
"Open-NetGPO","Function","NetSecurity"
"Optimize-StoragePool","Function","Storage"
"Optimize-Volume","Function","Storage"
"oss","Function",""
"P:","Function",""
"Pause","Function",""
"prompt","Function",""
"PSConsoleHostReadLine","Function",""
"PSConsoleHostReadLine","Function","PSReadLine"
"Publish-BCFileContent","Function","BranchCache"
"Publish-BCWebContent","Function","BranchCache"
"Publish-Module","Function","PowerShellGet"
"Publish-Module","Function","PowerShellGet"
"Publish-Script","Function","PowerShellGet"
"Publish-Script","Function","PowerShellGet"
"Q:","Function",""
"R:","Function",""
"Read-PrinterNfcTag","Function","PrintManagement"
"Register-ClusteredScheduledTask","Function","ScheduledTasks"
"Register-DnsClient","Function","DnsClient"
"Register-IscsiSession","Function","iSCSI"
"Register-PSRepository","Function","PowerShellGet"
"Register-PSRepository","Function","PowerShellGet"
"Register-ScheduledTask","Function","ScheduledTasks"
"Register-StorageSubsystem","Function","Storage"
"Remove-AutologgerConfig","Function","EventTracingManagement"
"Remove-BCDataCacheExtension","Function","BranchCache"
"Remove-BitLockerKeyProtector","Function","BitLocker"
"Remove-DAEntryPointTableItem","Function","DirectAccessClientComponents"
"Remove-DnsClientDohServerAddress","Function","DnsClient"
"Remove-DnsClientNrptRule","Function","DnsClient"
"Remove-DscConfigurationDocument","Function","PSDesiredStateConfiguration"
"Remove-DtcClusterTMMapping","Function","MsDtc"
"Remove-EtwTraceProvider","Function","EventTracingManagement"
"Remove-FileShare","Function","Storage"
"Remove-HgsClientHostKey","Function","HgsClient"
"Remove-HgsGuardian","Function","HgsClient"
"Remove-HnsEndpoint","Function","HostNetworkingService"
"Remove-HnsNamespace","Function","HostNetworkingService"
"Remove-HnsNetwork","Function","HostNetworkingService"
"Remove-HnsPolicyList","Function","HostNetworkingService"
"Remove-InitiatorId","Function","Storage"
"Remove-InitiatorIdFromMaskingSet","Function","Storage"
"Remove-IscsiTargetPortal","Function","iSCSI"
"Remove-MaskingSet","Function","Storage"
"Remove-MpBehavioralNetworkBlockingRules","Function","ConfigDefender"
"Remove-MpPreference","Function","ConfigDefender"
"Remove-MpPreference","Function","Defender"
"Remove-MpThreat","Function","ConfigDefender"
"Remove-MpThreat","Function","Defender"
"Remove-NetAdapterAdvancedProperty","Function","NetAdapter"
"Remove-NetEventNetworkAdapter","Function","NetEventPacketCapture"
"Remove-NetEventPacketCaptureProvider","Function","NetEventPacketCapture"
"Remove-NetEventProvider","Function","NetEventPacketCapture"
"Remove-NetEventSession","Function","NetEventPacketCapture"
"Remove-NetEventVFPProvider","Function","NetEventPacketCapture"
"Remove-NetEventVmNetworkAdapter","Function","NetEventPacketCapture"
"Remove-NetEventVmSwitch","Function","NetEventPacketCapture"
"Remove-NetEventVmSwitchProvider","Function","NetEventPacketCapture"
"Remove-NetEventWFPCaptureProvider","Function","NetEventPacketCapture"
"Remove-NetFirewallDynamicKeywordAddress","Function","NetSecurity"
"Remove-NetFirewallHyperVProfile","Function","NetSecurity"
"Remove-NetFirewallHyperVRule","Function","NetSecurity"
"Remove-NetFirewallHyperVVMSetting","Function","NetSecurity"
"Remove-NetFirewallRule","Function","NetSecurity"
"Remove-NetIPAddress","Function","NetTCPIP"
"Remove-NetIPHttpsCertBinding","Function","NetworkTransition"
"Remove-NetIPHttpsConfiguration","Function","NetworkTransition"
"Remove-NetIPsecDospSetting","Function","NetSecurity"
"Remove-NetIPsecMainModeCryptoSet","Function","NetSecurity"
"Remove-NetIPsecMainModeRule","Function","NetSecurity"
"Remove-NetIPsecMainModeSA","Function","NetSecurity"
"Remove-NetIPsecPhase1AuthSet","Function","NetSecurity"
"Remove-NetIPsecPhase2AuthSet","Function","NetSecurity"
"Remove-NetIPsecQuickModeCryptoSet","Function","NetSecurity"
"Remove-NetIPsecQuickModeSA","Function","NetSecurity"
"Remove-NetIPsecRule","Function","NetSecurity"
"Remove-NetLbfoTeam","Function","NetLbfo"
"Remove-NetLbfoTeamMember","Function","NetLbfo"
"Remove-NetLbfoTeamNic","Function","NetLbfo"
"Remove-NetNat","Function","NetNat"
"Remove-NetNatExternalAddress","Function","NetNat"
"Remove-NetNatStaticMapping","Function","NetNat"
"Remove-NetNatTransitionConfiguration","Function","NetworkTransition"
"Remove-NetNeighbor","Function","NetTCPIP"
"Remove-NetQosPolicy","Function","NetQos"
"Remove-NetRoute","Function","NetTCPIP"
"Remove-NetSwitchTeam","Function","NetSwitchTeam"
"Remove-NetSwitchTeamMember","Function","NetSwitchTeam"
"Remove-NetTransportFilter","Function","NetTCPIP"
"Remove-NetworkSwitchEthernetPortIPAddress","Function","NetworkSwitchManager"
"Remove-NetworkSwitchVlan","Function","NetworkSwitchManager"
"Remove-OdbcDsn","Function","Wdac"
"Remove-Partition","Function","Storage"
"Remove-PartitionAccessPath","Function","Storage"
"Remove-PhysicalDisk","Function","Storage"
"Remove-Printer","Function","PrintManagement"
"Remove-PrinterDriver","Function","PrintManagement"
"Remove-PrinterPort","Function","PrintManagement"
"Remove-PrintJob","Function","PrintManagement"
"Remove-SmbBandwidthLimit","Function","SmbShare"
"Remove-SmbClientCertificateMapping","Function","SmbShare"
"Remove-SMBComponent","Function","SmbShare"
"Remove-SmbGlobalMapping","Function","SmbShare"
"Remove-SmbMapping","Function","SmbShare"
"Remove-SmbMultichannelConstraint","Function","SmbShare"
"Remove-SmbServerAlternativePort","Function","SmbShare"
"Remove-SmbServerCertificateMapping","Function","SmbShare"
"Remove-SmbShare","Function","SmbShare"
"Remove-StorageBusBinding","Function","StorageBusCache"
"Remove-StorageFaultDomain","Function","Storage"
"Remove-StorageFileServer","Function","Storage"
"Remove-StorageHealthIntent","Function","Storage"
"Remove-StorageHealthSetting","Function","Storage"
"Remove-StoragePool","Function","Storage"
"Remove-StorageTier","Function","Storage"
"Remove-TargetPortFromMaskingSet","Function","Storage"
"Remove-VirtualDisk","Function","Storage"
"Remove-VirtualDiskFromMaskingSet","Function","Storage"
"Remove-VMDirectVirtualDisk","Function","VMDirectStorage"
"Remove-VpnConnection","Function","VpnClient"
"Remove-VpnConnectionRoute","Function","VpnClient"
"Remove-VpnConnectionTriggerApplication","Function","VpnClient"
"Remove-VpnConnectionTriggerDnsConfiguration","Function","VpnClient"
"Remove-VpnConnectionTriggerTrustedNetwork","Function","VpnClient"
"Rename-DAEntryPointTableItem","Function","DirectAccessClientComponents"
"Rename-MaskingSet","Function","Storage"
"Rename-NetAdapter","Function","NetAdapter"
"Rename-NetFirewallHyperVRule","Function","NetSecurity"
"Rename-NetFirewallRule","Function","NetSecurity"
"Rename-NetIPHttpsConfiguration","Function","NetworkTransition"
"Rename-NetIPsecMainModeCryptoSet","Function","NetSecurity"
"Rename-NetIPsecMainModeRule","Function","NetSecurity"
"Rename-NetIPsecPhase1AuthSet","Function","NetSecurity"
"Rename-NetIPsecPhase2AuthSet","Function","NetSecurity"
"Rename-NetIPsecQuickModeCryptoSet","Function","NetSecurity"
"Rename-NetIPsecRule","Function","NetSecurity"
"Rename-NetLbfoTeam","Function","NetLbfo"
"Rename-NetSwitchTeam","Function","NetSwitchTeam"
"Rename-Printer","Function","PrintManagement"
"Repair-FileIntegrity","Function","Storage"
"Repair-VirtualDisk","Function","Storage"
"Repair-Volume","Function","Storage"
"Reset-BC","Function","BranchCache"
"Reset-DAClientExperienceConfiguration","Function","DirectAccessClientComponents"
"Reset-DAEntryPointTableItem","Function","DirectAccessClientComponents"
"Reset-DtcLog","Function","MsDtc"
"Reset-NCSIPolicyConfiguration","Function","NetworkConnectivityStatus"
"Reset-Net6to4Configuration","Function","NetworkTransition"
"Reset-NetAdapterAdvancedProperty","Function","NetAdapter"
"Reset-NetDnsTransitionConfiguration","Function","NetworkTransition"
"Reset-NetIPHttpsConfiguration","Function","NetworkTransition"
"Reset-NetIsatapConfiguration","Function","NetworkTransition"
"Reset-NetTeredoConfiguration","Function","NetworkTransition"
"Reset-PhysicalDisk","Function","Storage"
"Reset-SmbClientConfiguration","Function","SmbShare"
"Reset-SmbServerConfiguration","Function","SmbShare"
"Reset-StorageReliabilityCounter","Function","Storage"
"Reset-WinhttpProxy","Function","WinHttpProxy"
"Resize-Partition","Function","Storage"
"Resize-StorageTier","Function","Storage"
"Resize-VirtualDisk","Function","Storage"
"Restart-NetAdapter","Function","NetAdapter"
"Restart-PcsvDevice","Function","PcsvDevice"
"Restart-PrintJob","Function","PrintManagement"
"Restore-DscConfiguration","Function","PSDesiredStateConfiguration"
"Restore-NetworkSwitchConfiguration","Function","NetworkSwitchManager"
"Resume-BitLocker","Function","BitLocker"
"Resume-PrintJob","Function","PrintManagement"
"Resume-StorageBusDisk","Function","StorageBusCache"
"Revoke-FileShareAccess","Function","Storage"
"Revoke-HgsKeyProtectorAccess","Function","HgsClient"
"Revoke-SmbClientAccessToServer","Function","SmbShare"
"Revoke-SmbShareAccess","Function","SmbShare"
"S:","Function",""
"SafeGetCommand","Function","Pester"
"Save-EtwTraceSession","Function","EventTracingManagement"
"Save-Module","Function","PowerShellGet"
"Save-Module","Function","PowerShellGet"
"Save-NetGPO","Function","NetSecurity"
"Save-NetworkSwitchConfiguration","Function","NetworkSwitchManager"
"Save-Script","Function","PowerShellGet"
"Save-Script","Function","PowerShellGet"
"Save-StorageDataCollection","Function","Storage"
"Send-Completions","Function",""
"Send-EtwTraceSession","Function","EventTracingManagement"
"Set-AssignedAccess","Function","AssignedAccess"
"Set-BCAuthentication","Function","BranchCache"
"Set-BCCache","Function","BranchCache"
"Set-BCDataCacheEntryMaxAge","Function","BranchCache"
"Set-BCMinSMBLatency","Function","BranchCache"
"Set-BCSecretKey","Function","BranchCache"
"Set-ClusteredScheduledTask","Function","ScheduledTasks"
"Set-DAClientExperienceConfiguration","Function","DirectAccessClientComponents"
"Set-DAEntryPointTableItem","Function","DirectAccessClientComponents"
"Set-DeliveryOptimizationStatus","Function","DeliveryOptimization"
"Set-Disk","Function","Storage"
"Set-DnsClient","Function","DnsClient"
"Set-DnsClientDohServerAddress","Function","DnsClient"
"Set-DnsClientGlobalSetting","Function","DnsClient"
"Set-DnsClientNrptGlobal","Function","DnsClient"
"Set-DnsClientNrptRule","Function","DnsClient"
"Set-DnsClientServerAddress","Function","DnsClient"
"Set-DODownloadMode","Function","DeliveryOptimization"
"Set-DOMaxBackgroundBandwidth","Function","DeliveryOptimization"
"Set-DOMaxForegroundBandwidth","Function","DeliveryOptimization"
"Set-DOPercentageMaxBackgroundBandwidth","Function","DeliveryOptimization"
"Set-DOPercentageMaxForegroundBandwidth","Function","DeliveryOptimization"
"Set-DtcAdvancedHostSetting","Function","MsDtc"
"Set-DtcAdvancedSetting","Function","MsDtc"
"Set-DtcClusterDefault","Function","MsDtc"
"Set-DtcClusterTMMapping","Function","MsDtc"
"Set-DtcDefault","Function","MsDtc"
"Set-DtcLog","Function","MsDtc"
"Set-DtcNetworkSetting","Function","MsDtc"
"Set-DtcTransaction","Function","MsDtc"
"Set-DtcTransactionsTraceSession","Function","MsDtc"
"Set-DtcTransactionsTraceSetting","Function","MsDtc"
"Set-DynamicParameterVariables","Function","Pester"
"Set-EtwTraceProvider","Function","EventTracingManagement"
"Set-FileIntegrity","Function","Storage"
"Set-FileShare","Function","Storage"
"Set-FileStorageTier","Function","Storage"
"Set-HgsClientConfiguration","Function","HgsClient"
"Set-HgsClientHostKey","Function","HgsClient"
"Set-InitiatorPort","Function","Storage"
"Set-IscsiChapSecret","Function","iSCSI"
"Set-LogProperties","Function","PSDiagnostics"
"Set-LogProperties","Function","PSDiagnostics"
"Set-MappedKeyHandler","Function",""
"Set-MappedKeyHandlers","Function",""
"Set-MMAgent","Function","MMAgent"
"Set-MpPreference","Function","ConfigDefender"
"Set-MpPreference","Function","Defender"
"Set-NCSIPolicyConfiguration","Function","NetworkConnectivityStatus"
"Set-Net6to4Configuration","Function","NetworkTransition"
"Set-NetAdapter","Function","NetAdapter"
"Set-NetAdapterAdvancedProperty","Function","NetAdapter"
"Set-NetAdapterBinding","Function","NetAdapter"
"Set-NetAdapterChecksumOffload","Function","NetAdapter"
"Set-NetAdapterDataPathConfiguration","Function","NetAdapter"
"Set-NetAdapterEncapsulatedPacketTaskOffload","Function","NetAdapter"
"Set-NetAdapterIPsecOffload","Function","NetAdapter"
"Set-NetAdapterLso","Function","NetAdapter"
"Set-NetAdapterPacketDirect","Function","NetAdapter"
"Set-NetAdapterPowerManagement","Function","NetAdapter"
"Set-NetAdapterQos","Function","NetAdapter"
"Set-NetAdapterRdma","Function","NetAdapter"
"Set-NetAdapterRsc","Function","NetAdapter"
"Set-NetAdapterRss","Function","NetAdapter"
"Set-NetAdapterSriov","Function","NetAdapter"
"Set-NetAdapterUro","Function","NetAdapter"
"Set-NetAdapterUso","Function","NetAdapter"
"Set-NetAdapterVmq","Function","NetAdapter"
"Set-NetConnectionProfile","Function","NetConnection"
"Set-NetDnsTransitionConfiguration","Function","NetworkTransition"
"Set-NetEventPacketCaptureProvider","Function","NetEventPacketCapture"
"Set-NetEventProvider","Function","NetEventPacketCapture"
"Set-NetEventSession","Function","NetEventPacketCapture"
"Set-NetEventVFPProvider","Function","NetEventPacketCapture"
"Set-NetEventVmSwitchProvider","Function","NetEventPacketCapture"
"Set-NetEventWFPCaptureProvider","Function","NetEventPacketCapture"
"Set-NetFirewallAddressFilter","Function","NetSecurity"
"Set-NetFirewallApplicationFilter","Function","NetSecurity"
"Set-NetFirewallHyperVProfile","Function","NetSecurity"
"Set-NetFirewallHyperVRule","Function","NetSecurity"
"Set-NetFirewallHyperVVMSetting","Function","NetSecurity"
"Set-NetFirewallInterfaceFilter","Function","NetSecurity"
"Set-NetFirewallInterfaceTypeFilter","Function","NetSecurity"
"Set-NetFirewallPortFilter","Function","NetSecurity"
"Set-NetFirewallProfile","Function","NetSecurity"
"Set-NetFirewallRule","Function","NetSecurity"
"Set-NetFirewallSecurityFilter","Function","NetSecurity"
"Set-NetFirewallServiceFilter","Function","NetSecurity"
"Set-NetFirewallSetting","Function","NetSecurity"
"Set-NetIPAddress","Function","NetTCPIP"
"Set-NetIPHttpsConfiguration","Function","NetworkTransition"
"Set-NetIPInterface","Function","NetTCPIP"
"Set-NetIPsecDospSetting","Function","NetSecurity"
"Set-NetIPsecMainModeCryptoSet","Function","NetSecurity"
"Set-NetIPsecMainModeRule","Function","NetSecurity"
"Set-NetIPsecPhase1AuthSet","Function","NetSecurity"
"Set-NetIPsecPhase2AuthSet","Function","NetSecurity"
"Set-NetIPsecQuickModeCryptoSet","Function","NetSecurity"
"Set-NetIPsecRule","Function","NetSecurity"
"Set-NetIPv4Protocol","Function","NetTCPIP"
"Set-NetIPv6Protocol","Function","NetTCPIP"
"Set-NetIsatapConfiguration","Function","NetworkTransition"
"Set-NetLbfoTeam","Function","NetLbfo"
"Set-NetLbfoTeamMember","Function","NetLbfo"
"Set-NetLbfoTeamNic","Function","NetLbfo"
"Set-NetNat","Function","NetNat"
"Set-NetNatGlobal","Function","NetNat"
"Set-NetNatTransitionConfiguration","Function","NetworkTransition"
"Set-NetNeighbor","Function","NetTCPIP"
"Set-NetOffloadGlobalSetting","Function","NetTCPIP"
"Set-NetQosPolicy","Function","NetQos"
"Set-NetRoute","Function","NetTCPIP"
"Set-NetTCPSetting","Function","NetTCPIP"
"Set-NetTeredoConfiguration","Function","NetworkTransition"
"Set-NetUDPSetting","Function","NetTCPIP"
"Set-NetworkSwitchEthernetPortIPAddress","Function","NetworkSwitchManager"
"Set-NetworkSwitchPortMode","Function","NetworkSwitchManager"
"Set-NetworkSwitchPortProperty","Function","NetworkSwitchManager"
"Set-NetworkSwitchVlanProperty","Function","NetworkSwitchManager"
"Set-OdbcDriver","Function","Wdac"
"Set-OdbcDsn","Function","Wdac"
"Set-Partition","Function","Storage"
"Set-PcsvDeviceBootConfiguration","Function","PcsvDevice"
"Set-PcsvDeviceNetworkConfiguration","Function","PcsvDevice"
"Set-PcsvDeviceUserPassword","Function","PcsvDevice"
"Set-PhysicalDisk","Function","Storage"
"Set-PrintConfiguration","Function","PrintManagement"
"Set-Printer","Function","PrintManagement"
"Set-PrinterProperty","Function","PrintManagement"
"Set-PSRepository","Function","PowerShellGet"
"Set-PSRepository","Function","PowerShellGet"
"Set-ResiliencySetting","Function","Storage"
"Set-ScheduledTask","Function","ScheduledTasks"
"Set-SmbBandwidthLimit","Function","SmbShare"
"Set-SmbClientCertificateMapping","Function","SmbShare"
"Set-SmbClientConfiguration","Function","SmbShare"
"Set-SmbPathAcl","Function","SmbShare"
"Set-SmbServerAlternativePort","Function","SmbShare"
"Set-SmbServerCertificateMapping","Function","SmbShare"
"Set-SmbServerConfiguration","Function","SmbShare"
"Set-SmbShare","Function","SmbShare"
"Set-StorageBusCache","Function","StorageBusCache"
"Set-StorageBusProfile","Function","StorageBusCache"
"Set-StorageFileServer","Function","Storage"
"Set-StorageHealthSetting","Function","Storage"
"Set-StoragePool","Function","Storage"
"Set-StorageProvider","Function","Storage"
"Set-StorageSetting","Function","Storage"
"Set-StorageSubSystem","Function","Storage"
"Set-StorageTier","Function","Storage"
"Set-TestInconclusive","Function","Pester"
"Set-VirtualDisk","Function","Storage"
"Set-Volume","Function","Storage"
"Set-VolumeScrubPolicy","Function","Storage"
"Set-VpnConnection","Function","VpnClient"
"Set-VpnConnectionIPsecConfiguration","Function","VpnClient"
"Set-VpnConnectionProxy","Function","VpnClient"
"Set-VpnConnectionTriggerDnsConfiguration","Function","VpnClient"
"Set-VpnConnectionTriggerTrustedNetwork","Function","VpnClient"
"Set-WinhttpProxy","Function","WinHttpProxy"
"Setup","Function","Pester"
"Should","Function","Pester"
"Show-NetFirewallRule","Function","NetSecurity"
"Show-NetIPsecRule","Function","NetSecurity"
"Show-StorageHistory","Function","Storage"
"Show-VirtualDisk","Function","Storage"
"Start-AppBackgroundTask","Function","AppBackgroundTask"
"Start-AppvVirtualProcess","Function","AppvClient"
"Start-AutologgerConfig","Function","EventTracingManagement"
"Start-Dtc","Function","MsDtc"
"Start-DtcTransactionsTraceSession","Function","MsDtc"
"Start-EtwTraceSession","Function","EventTracingManagement"
"Start-MpRollback","Function","ConfigDefender"
"Start-MpRollback","Function","Defender"
"Start-MpScan","Function","ConfigDefender"
"Start-MpScan","Function","Defender"
"Start-MpWDOScan","Function","ConfigDefender"
"Start-MpWDOScan","Function","Defender"
"Start-NetEventSession","Function","NetEventPacketCapture"
"Start-PcsvDevice","Function","PcsvDevice"
"Start-ScheduledTask","Function","ScheduledTasks"
"Start-StorageDiagnosticLog","Function","Storage"
"Start-Trace","Function","PSDiagnostics"
"Start-Trace","Function","PSDiagnostics"
"Stop-DscConfiguration","Function","PSDesiredStateConfiguration"
"Stop-Dtc","Function","MsDtc"
"Stop-DtcTransactionsTraceSession","Function","MsDtc"
"Stop-EtwTraceSession","Function","EventTracingManagement"
